interaction_id,workflow_id,student_id,date_opened,date_closed,department,service_category,interaction_type,status,source_priority,assigned_owner,referral_source,referred_to_department
SI00525,WF00324,S0492,2026-02-23,2026-02-24,academic advising,academic,handoff,Closed,medium,ST009,,
SI00572,WF00352,S0527,2026-02-27,2026-03-15,ResLife,social,referral,Closed,high,ST017,Financial Aid,
SI00317,WF00205,S0278,2026-03-18,2026-04-04,Dean of Students,social,handoff,closed ,high,ST015,,
SI00702,WF00440,S0640,2026-02-19,,DOS,academic,referral,open,urgent,ST014,Residential Life,
SI00327,WF00209,S0289,2026-02-23,2026-02-24,Residential Life,wellbeing,referral,Closed,medium,ST016,Academic Advising,
SI00021,WF00012,S0016,2026-02-17,2026-03-07,FinAid,financial,referral,closed,low,ST012,Financial Aid,
SI00548,WF00337,S0513,2026-03-13,2026-03-20,counseling,academic,referral,Closed,urgent,ST003,Counseling,Residential Life
SI00617,WF00379,S0557,2026-02-02,,Academic Advising,wellbeing,referral,open,low,ST010,Dean of Students,
SI00583,WF00359,S0536,2026-03-20,2026-03-24,ResLife,wellbeing,referral,closed ,low,ST016,Academic Advising,
SI00637,WF00392,S0574,2026-03-13,,financial aid,financial,check_in,open,medium,ST012,,
SI00516,WF00320,S0479,2026-02-19,,Residential Life,financial,handoff,open,urgent,ST018,,
SI00634,WF00391,S0571,2026-02-16,2026-02-17,residential life,wellbeing,referral,closed ,urgent,ST016,Academic Advising,
SI00422,WF00270,S0376,2026-02-02,2026-02-04,Academic Advising,financial,referral,closed ,medium,ST008,Financial Aid,Financial Aid
SI00587,WF00361,S0537,2026-02-16,,Counseling Center,financial,check_in,open,low,,,
SI00183,WF00121,S0176,2026-02-13,2026-02-22,dean of students,wellbeing,handoff,closed ,low,ST014,,
SI00367,WF00235,S0325,2026-03-03,2026-03-07,academic advising,academic,referral,Closed,urgent,ST006,Academic Advising,
SI00508,WF00317,S0476,2026-03-13,,Academic Advising,wellbeing,referral,Open,low,ST005,Counseling,Financial Aid
SI00213,WF00141,S0199,2026-03-24,2026-04-05,Academic Advising,financial,handoff,closed ,urgent,ST006,,
SI00393,WF00251,S0352,2026-03-03,2026-03-05,Counseling  ,financial,referral,closed,medium,ST001,Academic Advising,
SI00029,WF00018,S0023,2026-02-12,2026-02-15,Academic Advising,academic,referral,Closed,medium,ST005,Dean of Students,
SI00339,WF00217,S0297,2026-02-23,,academic advising,wellbeing,handoff,Open,medium,ST007,,
SI00614,WF00376,S0555,2026-02-09,2026-02-15,Acad. Advising,academic,check_in,closed,medium,,,
SI00512,WF00318,S0476,2026-03-06,,counseling,social,referral,open,medium,ST004,Academic Advising,Residential Life
SI00749,WF00471,S0684,2026-02-20,,Financial Aid,behavioral,handoff,Open,low,ST011,,
SI00166,WF00109,S0160,2026-03-06,,Financial Aid,social,referral,Open,low,,Residential Life,
SI00589,WF00362,S0537,2026-02-28,,Financial Aid,social,check_in,OPEN,high,ST011,,
SI00015,WF00008,S0008,2026-02-14,2026-03-05,dean of students,academic,check_in,closed ,high,ST014,,
SI00332,WF00212,S0293,2026-03-05,,ResLife,financial,referral,OPEN,medium,ST018,Financial Aid,Counseling
SI00042,WF00026,S0031,2026-02-28,2026-03-06,Financial Aid,academic,referral,Closed,urgent,ST012,faculty,
SI00768,WF00484,S0700,2026-03-17,2026-03-18,Counseling Center,wellbeing,handoff,closed,low,ST003,,
SI00662,WF00412,S0597,2026-02-25,2026-03-05,ResLife,wellbeing,referral,closed ,low,ST018,Financial Aid,Dean of Students
SI00535,WF00330,S0502,2026-02-03,2026-02-16,Dean of Students,behavioral,check_in,closed ,high,ST014,,
SI00543,WF00334,S0506,2026-02-19,2026-02-25,academic advising,academic,check_in,closed ,urgent,ST006,,
SI00173,WF00115,S0166,2026-02-18,2026-03-06,residential life,wellbeing,check_in,closed ,high,ST016,,
SI00717,WF00451,S0661,2026-03-04,2026-03-19,Acad. Advising,wellbeing,referral,closed,low,ST010,faculty,Counseling
SI00206,WF00138,S0198,2026-03-11,2026-03-16,Counseling  ,financial,referral,closed,medium,ST004,Academic Advising,Academic Advising
SI00415,WF00266,S0371,2026-03-06,2026-03-22,Financial Aid,social,handoff,closed ,high,ST012,,
SI00666,WF00415,S0602,2026-02-02,2026-02-21,ResLife,academic,referral,closed,high,ST018,self,
SI00684,WF00429,S0619,2026-02-19,2026-03-09,academic advising,financial,handoff,closed ,low,ST006,,
SI00407,WF00261,S0362,2026-02-24,2026-02-27,counseling,wellbeing,handoff,Closed,low,ST004,,
SI00706,WF00444,S0650,2026-03-20,2026-04-08,DOS,academic,referral,Closed,high,ST015,self,Financial Aid
SI00527,WF00326,S0494,2026-03-03,2026-03-08,FinAid,social,handoff,closed,low,ST013,,
SI00612,WF00375,S0555,2026-02-19,,counseling,wellbeing,check_in,open,low,ST001,,
SI00211,WF00140,S0199,2026-03-05,2026-03-18,Financial Aid,wellbeing,referral,closed,low,ST013,Residential Life,
SI00274,WF00180,S0246,2026-02-11,,Counseling,wellbeing,referral,OPEN,low,ST003,faculty,
SI00665,WF00414,S0598,2026-02-05,,Counseling  ,social,handoff,open,low,ST004,,
SI00630,WF00388,S0568,2026-02-17,2026-03-07,Dean of Students,social,handoff,closed ,urgent,ST015,,
SI00188,WF00125,S0181,2026-02-24,2026-03-14,Financial Aid,behavioral,check_in,closed,high,ST013,,
SI00093,WF00059,S0081,2026-02-20,,FinAid,financial,referral,Open,low,ST013,Financial Aid,Residential Life
SI00382,WF00244,S0334,2026-02-28,,FinAid,financial,check_in,Open,low,ST012,,
SI00676,WF00423,S0613,2026-03-17,2026-04-07,DOS,academic,handoff,closed,low,ST014,,
SI00086,WF00054,S0067,2026-02-28,,counseling,financial,referral,Open,medium,ST001,Dean of Students,
SI00611,WF00374,S0554,2026-02-13,2026-02-21,Counseling Center,social,referral,closed ,high,ST001,faculty,
SI00266,WF00176,S0239,2026-02-09,,FinAid,behavioral,referral,open,medium,ST011,Financial Aid,
SI00145,WF00092,S0134,2026-03-16,2026-03-29,Academic Advising,behavioral,referral,Closed,medium,,faculty,
SI00046,WF00028,S0033,2026-02-09,2026-02-25,dean of students,social,referral,closed ,urgent,ST015,Academic Advising,
SI00018,WF00010,S0013,2026-02-10,2026-02-15,dean of students,social,referral,closed,urgent,ST015,Financial Aid,
SI00727,WF00457,S0671,2026-02-06,,Financial Aid,academic,handoff,OPEN,medium,ST011,,
SI00299,WF00193,S0266,2026-02-23,2026-03-06,ResLife,social,handoff,closed,low,ST017,,
SI00426,WF00273,S0383,2026-02-11,2026-03-03,ResLife,social,referral,closed,medium,ST016,Financial Aid,
SI00284,WF00186,S0256,2026-02-12,,Academic Advising,behavioral,handoff,Open,high,,,
SI00322,WF00207,S0282,2026-03-19,2026-03-22,DOS,behavioral,handoff,Closed,urgent,ST015,,
SI00723,WF00456,S0671,2026-02-24,,Dean of Students,financial,check_in,OPEN,medium,,,
SI00104,WF00068,S0096,2026-03-06,2026-03-24,dean of students,financial,referral,closed ,medium,ST015,Residential Life,Academic Advising
SI00178,WF00118,S0174,2026-03-11,,Counseling,financial,referral,OPEN,urgent,ST002,Financial Aid,Residential Life
SI00514,WF00319,S0479,2026-02-24,2026-03-11,financial aid,social,handoff,closed ,medium,,,
SI00140,WF00088,S0127,2026-03-16,2026-03-23,Acad. Advising,academic,handoff,closed,high,ST005,,
SI00143,WF00090,S0134,2026-03-20,,Financial Aid,behavioral,referral,Open,medium,ST012,Residential Life,
SI00596,WF00367,S0548,2026-02-17,,academic advising,behavioral,referral,Open,low,ST008,self,Dean of Students
SI00651,WF00402,S0589,2026-02-05,2026-02-08,Counseling  ,financial,handoff,Closed,low,ST003,,
SI00425,WF00272,S0382,2026-02-15,2026-02-24,academic advising,social,handoff,Closed,low,ST005,,
SI00581,WF00357,S0532,2026-02-23,2026-03-05,ResLife,behavioral,check_in,closed,low,ST017,,
SI00604,WF00372,S0553,2026-02-24,2026-03-14,Financial Aid,academic,referral,Closed,low,ST013,Academic Advising,
SI00739,WF00464,S0675,2026-02-02,2026-02-22,FinAid,academic,check_in,Closed,high,ST013,,
SI00491,WF00305,S0446,2026-02-04,,Residential Life,academic,check_in,OPEN,urgent,,,
SI00480,WF00301,S0444,2026-03-11,,Acad. Advising,financial,handoff,open,low,,,
SI00383,WF00245,S0336,2026-02-27,2026-03-13,Acad. Advising,wellbeing,referral,closed,medium,ST009,Financial Aid,Counseling
SI00133,WF00083,S0121,2026-03-17,,FinAid,behavioral,referral,OPEN,high,,Counseling,Counseling
SI00488,WF00304,S0445,2026-03-04,2026-03-14,residential life,financial,referral,Closed,medium,ST016,Financial Aid,
SI00557,WF00342,S0518,2026-02-26,2026-02-27,Residential Life,wellbeing,check_in,closed,low,,,
SI00169,WF00112,S0161,2026-03-19,,FinAid,social,referral,Open,urgent,,self,Residential Life
SI00408,WF00262,S0364,2026-02-27,2026-03-01,Counseling,wellbeing,check_in,closed ,medium,ST002,,
SI00635,WF00391,S0571,2026-02-20,2026-03-13,residential life,social,referral,Closed,urgent,ST016,Dean of Students,Financial Aid
SI00463,WF00292,S0428,2026-03-06,2026-03-24,Counseling  ,behavioral,referral,closed ,medium,ST004,Dean of Students,
SI00615,WF00377,S0555,2026-02-10,,ResLife,behavioral,referral,OPEN,medium,,self,Dean of Students
SI00366,WF00234,S0322,2026-02-10,,counseling,wellbeing,check_in,Open,urgent,ST001,,
SI00079,WF00050,S0063,2026-03-02,2026-03-08,Residential Life,financial,check_in,closed,low,ST017,,
SI00148,WF00095,S0141,2026-02-11,2026-02-28,financial aid,financial,handoff,closed,urgent,ST012,,
SI00585,WF00360,S0536,2026-03-21,2026-04-11,Academic Advising,wellbeing,check_in,closed,medium,ST010,,
SI00168,WF00111,S0160,2026-03-04,2026-03-18,Counseling,behavioral,check_in,Closed,medium,ST003,,
SI00112,WF00072,S0104,2026-02-10,2026-02-12,ResLife,financial,referral,closed,urgent,ST017,Financial Aid,
SI00035,WF00023,S0028,2026-03-16,2026-03-24,ResLife,academic,referral,closed,medium,,Academic Advising,Financial Aid
SI00424,WF00272,S0382,2026-02-12,2026-02-19,academic advising,academic,check_in,closed ,urgent,ST006,,
SI00225,WF00148,S0206,2026-02-24,2026-03-14,Residential Life,academic,referral,Closed,high,ST016,faculty,
SI00713,WF00449,S0657,2026-02-27,2026-03-09,DOS,behavioral,check_in,Closed,medium,ST014,,
SI00105,WF00069,S0099,2026-02-18,2026-03-03,Counseling,academic,handoff,closed,low,ST003,,
SI00689,WF00433,S0628,2026-03-19,2026-04-01,FinAid,behavioral,handoff,closed,urgent,ST013,,
SI00240,WF00160,S0217,2026-02-27,2026-03-07,ResLife,behavioral,check_in,Closed,medium,,,
SI00364,WF00233,S0322,2026-02-12,,dean of students,financial,handoff,Open,high,ST015,,
SI00271,WF00179,S0246,2026-02-17,,Academic Advising,wellbeing,check_in,pending,medium,,,
SI00028,WF00017,S0022,2026-02-17,2026-03-08,financial aid,academic,handoff,closed ,low,ST013,,
SI00161,WF00105,S0153,2026-03-13,2026-04-03,residential life,behavioral,referral,closed,high,ST017,Financial Aid,
SI00214,WF00142,S0200,2026-03-06,2026-03-22,FinAid,behavioral,referral,closed,high,ST012,Residential Life,
SI00618,WF00380,S9999,2026-03-10,2026-03-14,Counseling Center,social,referral,Closed,urgent,,Dean of Students,Residential Life
SI00234,WF00155,S0211,2026-02-02,2026-02-10,financial aid,behavioral,referral,Closed,medium,ST012,self,Residential Life
SI00283,WF00185,S0254,2026-02-10,2026-02-23,dean of students,wellbeing,referral,closed ,medium,ST014,Counseling,Residential Life
SI00016,WF00009,S0010,2026-02-25,2026-03-16,Residential Life,financial,check_in,Closed,low,ST017,,
SI00386,WF00246,S0336,2026-03-15,2026-04-05,FinAid,behavioral,check_in,closed ,urgent,ST012,,
SI00640,WF00394,S0574,2026-03-18,,academic advising,social,referral,OPEN,medium,ST010,faculty,
SI00757,WF00478,S0692,2026-02-18,,residential life,behavioral,check_in,OPEN,medium,ST016,,
SI00728,WF00458,S0671,2026-02-04,,Dean of Students,financial,check_in,open,low,ST014,,
SI00673,WF00421,S0610,2026-02-02,2026-02-06,Acad. Advising,social,referral,Closed,urgent,ST009,Financial Aid,Counseling
SI00622,WF00381,S0559,2026-02-18,2026-02-19,academic advising,academic,check_in,closed ,medium,ST005,,
SI00664,WF00413,S0598,2026-03-05,,counseling,social,handoff,Open,low,ST004,,
SI00625,WF00383,S0561,2026-02-13,2026-03-03,academic advising,financial,referral,closed,urgent,ST007,Dean of Students,Residential Life
SI00562,WF00345,S0521,2026-03-19,2026-03-22,DOS,wellbeing,referral,Closed,urgent,ST014,Residential Life,
SI00126,WF00079,S0116,2026-02-13,2026-02-17,Counseling,behavioral,check_in,Closed,medium,ST004,,
SI00632,WF00389,S0570,2026-03-10,2026-03-21,financial aid,social,check_in,closed,low,ST012,,
SI00197,WF00131,S0186,2026-03-16,2026-03-27,Financial Aid,behavioral,referral,closed ,high,,Dean of Students,
SI00619,WF00380,S0557,2026-03-12,2026-04-02,Counseling Center,behavioral,check_in,closed,low,ST002,,
SI00765,WF00482,S0699,2026-03-16,,Acad. Advising,wellbeing,check_in,Open,medium,,,
SI00588,WF00362,S0537,2026-02-24,,Financial Aid,financial,check_in,open,high,,,
SI00559,WF00343,S0518,2026-03-10,2026-03-30,Academic Advising,academic,referral,Closed,high,,Financial Aid,
SI00552,WF00339,S0515,2026-02-20,,Financial Aid,behavioral,referral,open,high,ST013,Residential Life,
SI00182,WF00121,S0176,2026-02-10,2026-03-02,dean of students,social,check_in,closed ,high,ST014,,
SI00669,WF00418,S0605,2026-02-24,2026-03-12,Academic Advising,social,check_in,closed ,low,ST010,,
SI00434,WF00276,S0385,2026-02-12,,Financial Aid,wellbeing,referral,OPEN,medium,,Counseling,Residential Life
SI00335,WF00214,S0293,2026-03-20,2026-03-25,Financial Aid,social,handoff,closed,low,,,
SI00131,WF00082,S0121,2026-02-19,,Residential Life,academic,check_in,Open,low,ST016,,
SI00078,WF00050,S0063,2026-03-02,2026-03-12,Residential Life,academic,handoff,closed ,medium,ST016,,
SI00303,WF00196,S0267,2026-03-04,,ResLife,behavioral,check_in,open,medium,ST016,,
SI00479,WF00300,S0444,2026-02-27,,dean of students,financial,check_in,pending,medium,ST014,,
SI00579,WF00357,S0532,2026-02-19,2026-03-10,ResLife,financial,handoff,closed ,medium,ST018,,
SI00344,WF00219,S0298,2026-02-19,2026-02-21,Financial Aid,behavioral,check_in,closed,low,ST012,,
SI00238,WF00158,S0216,2026-03-12,2026-03-29,FinAid,academic,handoff,closed,medium,,,
SI00088,WF00056,S0072,2026-02-23,2026-03-07,counseling,behavioral,check_in,closed,high,ST003,,
SI00096,WF00062,S0084,2026-02-26,2026-03-19,Dean of Students,social,referral,closed,low,ST014,Financial Aid,
SI00310,WF00201,S0275,2026-03-13,2026-03-31,ResLife,wellbeing,referral,Closed,medium,ST016,self,Dean of Students
SI00735,WF00462,S0674,2026-03-06,2026-03-25,Residential Life,behavioral,referral,Closed,urgent,,Dean of Students,
SI00418,WF00268,S0374,2026-02-16,2026-03-01,Dean of Students,social,referral,closed,low,ST014,Financial Aid,Financial Aid
SI00304,WF00197,S9999,2026-02-23,2026-03-11,Financial Aid,behavioral,referral,Closed,medium,ST011,faculty,Residential Life
SI00645,WF00398,S0583,2026-03-20,2026-03-23,Acad. Advising,social,handoff,closed ,high,ST009,,
SI00226,WF00149,S0206,2026-03-05,2026-03-09,residential life,financial,handoff,closed ,high,ST016,,
SI00460,WF00290,S0426,2026-02-23,2026-02-28,Financial Aid,academic,check_in,Closed,low,ST012,,
SI00081,WF00052,S0066,2026-02-17,2026-03-03,Residential Life,wellbeing,handoff,closed ,low,ST016,,
SI00267,WF00177,S0239,2026-03-20,,Counseling  ,financial,check_in,open,high,ST002,,
SI00449,WF00284,S0411,2026-02-11,2026-02-21,dean of students,academic,handoff,closed ,urgent,ST014,,
SI00141,WF00089,S0130,2026-02-16,2026-02-27,FinAid,behavioral,referral,Closed,low,ST011,Dean of Students,
SI00558,WF00343,S0518,2026-03-06,2026-03-22,Academic Advising,wellbeing,referral,closed ,high,ST008,Counseling,Dean of Students
SI00260,WF00172,S0230,2026-03-13,2026-03-16,Acad. Advising,social,check_in,closed ,high,,,
SI00170,WF00113,S0161,2026-03-05,2026-03-14,counseling,behavioral,referral,closed ,high,,Academic Advising,
SI00255,WF00169,S0225,2026-03-05,,DOS,wellbeing,handoff,Open,medium,,,
SI00067,WF00041,S0052,2026-02-25,,dean of students,wellbeing,handoff,OPEN,high,,,
SI00293,WF00191,S0264,2026-03-03,,DOS,behavioral,handoff,pending,low,ST015,,
SI00492,WF00306,S0446,2026-03-20,,Dean of Students,academic,referral,Open,low,ST015,Dean of Students,Financial Aid
SI00275,WF00181,S0246,2026-02-18,2026-02-25,residential life,social,referral,closed ,high,,Dean of Students,
SI00608,WF00373,S0554,2026-03-14,2026-03-16,FinAid,social,referral,closed,high,ST011,faculty,
SI00156,WF00101,S0148,2026-02-17,,Acad. Advising,social,handoff,open,urgent,ST010,,
SI00292,WF00190,S0264,2026-03-06,,Dean of Students,social,referral,open,high,,Financial Aid,
SI00544,WF00334,S0506,2026-02-20,2026-02-22,academic advising,social,check_in,closed ,urgent,ST010,,
SI00372,WF00238,S0327,2026-03-12,2026-03-29,Counseling,financial,referral,closed,low,ST001,Counseling,
SI00398,WF00254,S0357,2026-03-02,2026-03-05,counseling,financial,check_in,Closed,low,ST004,,
SI00224,WF00148,S0206,2026-02-23,2026-03-07,Residential Life,financial,handoff,Closed,low,ST016,,
SI00203,WF00135,S0190,2026-02-11,2026-02-22,Counseling,behavioral,check_in,Closed,urgent,ST004,,
SI00331,WF00211,S0292,2026-03-02,2026-03-11,Counseling,academic,handoff,closed ,medium,ST003,,
SI00430,WF00274,S0385,2026-02-27,,Acad. Advising,wellbeing,referral,OPEN,low,ST006,Dean of Students,
SI00774,WF00451,S0661,2026-03-04,2026-03-19,Acad. Advising,wellbeing,referral,closed,low,ST010,faculty,Counseling
SI00177,WF00117,S0169,2026-03-18,2026-03-19,Academic Advising,academic,referral,Closed,urgent,ST009,Counseling,Counseling
SI00138,WF00086,S0122,2026-02-04,,Counseling Center,academic,handoff,Open,low,,,
SI00764,WF00481,S0697,2026-02-27,2026-03-09,Residential Life,social,referral,closed ,low,ST018,Counseling,
SI00100,WF00065,S0089,2026-02-27,2026-03-09,Dean of Students,financial,handoff,closed ,low,ST014,,
SI00157,WF00102,S0148,2026-02-12,,residential life,financial,check_in,OPEN,medium,,,
SI00020,WF00011,S0013,2026-03-12,2026-03-15,academic advising,financial,referral,closed ,medium,ST008,faculty,Counseling
SI00470,WF00296,S0435,2026-02-20,2026-02-23,Residential Life,social,handoff,Closed,medium,,,
SI00653,WF00404,S0590,2026-02-19,2026-02-26,Financial Aid,social,handoff,closed ,medium,ST013,,
SI00033,WF00021,S0027,2026-03-12,,Academic Advising,wellbeing,handoff,Pending,urgent,ST010,,
SI00314,WF00203,S0276,2026-02-22,2026-03-06,residential life,financial,referral,closed,medium,ST018,Dean of Students,
SI00680,WF00427,S0618,2026-02-25,2026-03-05,Financial Aid,behavioral,handoff,closed,high,ST011,,
SI00500,WF00312,S0455,2026-02-05,,ResLife,social,check_in,open,low,,,
SI00152,WF00099,S0143,2026-03-05,,financial aid,wellbeing,referral,Open,medium,,Dean of Students,
SI00087,WF00055,S0069,2026-02-12,2026-02-22,dean of students,academic,check_in,closed,low,ST014,,
SI00461,WF00291,S0426,2026-02-09,2026-02-25,Acad. Advising,financial,referral,closed,medium,ST005,self,Counseling
SI00380,WF00243,S0334,2026-03-19,,Dean of Students,wellbeing,referral,open,low,,Dean of Students,Financial Aid
SI00082,WF00053,S0067,2026-03-03,,Counseling,social,referral,open,low,ST003,self,Dean of Students
SI00124,WF00078,S0109,2026-02-23,2026-02-27,Counseling,wellbeing,referral,closed ,low,ST004,Residential Life,
SI00621,WF00381,S0559,2026-02-19,2026-02-27,academic advising,academic,handoff,closed ,urgent,ST009,,
SI00690,WF00434,S0629,2026-02-20,2026-03-08,Academic Advising,financial,handoff,Closed,high,ST010,,
SI00095,WF00061,S0084,2026-03-03,2026-03-07,Dean of Students,financial,referral,Closed,high,ST015,self,Financial Aid
SI00363,WF00233,S0322,2026-02-10,,dean of students,academic,check_in,OPEN,urgent,ST014,,
SI00285,WF00187,S0256,2026-02-05,2026-02-07,dean of students,academic,handoff,Closed,high,ST015,,
SI00265,WF00175,S0238,2026-03-26,,FinAid,wellbeing,referral,OPEN,urgent,,self,Residential Life
SI00288,WF00189,S0257,2026-02-24,2026-03-17,Acad. Advising,financial,handoff,closed ,urgent,ST008,,
SI00748,WF00470,S0684,2026-02-11,,dean of students,social,check_in,Open,urgent,,,
SI00277,WF00182,S0247,2026-02-13,2026-03-06,Academic Advising,behavioral,handoff,Closed,urgent,ST009,,
SI00326,WF00208,S0285,2026-02-25,2026-03-15,counseling,wellbeing,handoff,closed,medium,ST001,,
SI00043,WF00027,S0032,2026-03-13,2026-03-25,financial aid,wellbeing,check_in,Closed,high,ST013,,
SI00039,WF00025,S0028,2026-03-09,2026-03-26,Counseling,wellbeing,referral,closed ,low,ST003,faculty,
SI00180,WF00119,S0174,2026-03-13,,Residential Life,social,referral,Open,urgent,ST016,Dean of Students,Academic Advising
SI00058,WF00035,S0041,2026-02-19,2026-02-24,counseling,social,referral,Closed,low,ST002,Financial Aid,Academic Advising
SI00518,WF00320,S0479,2026-02-25,,Residential Life,social,check_in,open,urgent,ST016,,
SI00698,WF00437,S0633,2026-02-04,2026-02-05,Counseling,academic,referral,Closed,urgent,ST004,Dean of Students,
SI00428,WF00273,S0383,2026-02-15,2026-03-05,ResLife,social,referral,Closed,high,ST016,Financial Aid,
SI00220,WF00146,S0204,2026-03-19,2026-03-24,ResLife,financial,referral,closed ,medium,,self,
SI00753,WF00475,S0689,2026-02-05,2026-02-24,Academic Advising,wellbeing,handoff,Closed,medium,ST010,,
SI00053,WF00033,S0036,2026-02-18,,Academic Advising,wellbeing,check_in,Open,medium,ST010,,
SI00692,WF00435,S0632,2026-02-27,2026-03-04,Acad. Advising,behavioral,handoff,Closed,urgent,ST009,,
SI00019,WF00011,S0013,2026-03-09,2026-03-13,academic advising,academic,handoff,closed ,low,ST009,,
SI00671,WF00420,S0609,2026-03-18,2026-04-06,DOS,academic,referral,Closed,medium,ST014,Academic Advising,
SI00573,WF00352,S0527,2026-02-26,2026-03-02,ResLife,academic,referral,closed,high,ST018,Counseling,Academic Advising
SI00639,WF00394,S0574,2026-03-17,,academic advising,academic,handoff,open,urgent,,,
SI00607,WF00373,S0554,2026-03-10,2026-03-18,FinAid,academic,check_in,closed,urgent,ST013,,
SI00109,WF00070,S0103,2026-03-04,,Financial Aid,wellbeing,referral,Open,medium,,self,Dean of Students
SI00718,WF00451,S0661,2026-03-08,2026-03-17,Acad. Advising,financial,referral,closed ,medium,ST009,Dean of Students,Counseling
SI00321,WF00206,S0281,2026-03-04,2026-03-11,financial aid,behavioral,handoff,closed ,urgent,ST013,,
SI00551,WF00339,S0515,2026-02-18,,Financial Aid,financial,referral,OPEN,high,ST011,faculty,
SI00282,WF00184,S0253,2026-03-06,2026-03-21,financial aid,behavioral,referral,Closed,high,ST011,self,Residential Life
SI00737,WF00463,S0674,2026-03-08,2026-03-22,Counseling  ,wellbeing,handoff,Closed,medium,ST004,,
SI00113,WF00072,S0104,2026-02-12,2026-02-27,ResLife,academic,check_in,closed,medium,ST016,,
SI00456,WF00288,S0424,2026-02-26,2026-03-13,Dean of Students,behavioral,check_in,closed ,high,ST015,,
SI00176,WF00117,S0169,2026-03-12,2026-03-30,Academic Advising,wellbeing,referral,closed,urgent,ST005,self,
SI00733,WF00461,S0674,2026-02-20,2026-02-25,Financial Aid,social,handoff,Closed,medium,,,
SI00624,WF00383,S0561,2026-02-09,2026-03-01,academic advising,financial,check_in,closed ,high,ST010,,
SI00164,WF00108,S0157,2026-03-05,,ResLife,social,referral,Open,low,,Residential Life,
SI00346,WF00220,S0299,2026-03-04,2026-03-03,financial aid,wellbeing,referral,Closed,medium,ST011,Dean of Students,
SI00227,WF00150,S0207,2026-03-03,2026-03-10,Financial Aid,academic,check_in,closed,low,ST013,,
SI00316,WF00204,S0277,2026-03-16,2026-03-24,Counseling Center,behavioral,referral,closed ,urgent,ST002,self,
SI00122,WF00077,S0108,2026-02-04,,Financial Aid,financial,referral,OPEN,low,ST012,Financial Aid,Dean of Students
SI00591,WF00364,S0539,2026-02-24,,ResLife,social,referral,pending,medium,,faculty,Financial Aid
SI00481,WF00301,S0444,2026-03-14,,Acad. Advising,wellbeing,referral,Open,low,ST005,faculty,Financial Aid
SI00119,WF00075,S0108,2026-02-25,2026-03-14,Dean of Students,academic,referral,closed ,high,ST014,Residential Life,Financial Aid
SI00710,WF00447,S0656,2026-03-16,2026-03-18,Residential Life,academic,handoff,Closed,urgent,ST017,,
SI00521,WF00321,S0480,2026-03-08,2026-03-25,DOS,academic,referral,closed ,medium,ST015,Residential Life,
SI00668,WF00417,S0604,2026-02-13,2026-02-23,ResLife,financial,referral,closed ,medium,ST016,faculty,
SI00490,WF00305,S0446,2026-02-02,,Residential Life,behavioral,check_in,open,medium,ST018,,
SI00779,WF00123,S0179,2026-02-04,2026-02-25,Residential Life,wellbeing,referral,closed ,high,ST018,faculty,Financial Aid
SI00584,WF00360,S0536,2026-03-19,2026-04-03,Academic Advising,social,check_in,closed ,urgent,ST007,,
SI00247,WF00164,S0222,2026-03-13,,Counseling  ,wellbeing,check_in,OPEN,urgent,,,
SI00089,WF00057,S0079,2026-03-10,2026-03-19,academic advising,behavioral,check_in,closed ,low,ST010,,
SI00472,WF00296,S0435,2026-02-26,2026-03-15,Residential Life,wellbeing,check_in,closed,high,ST017,,
SI00370,WF00236,S0326,2026-03-12,2026-03-29,Acad. Advising,academic,handoff,closed ,medium,ST009,,
SI00520,WF00321,S0480,2026-03-08,2026-03-14,DOS,wellbeing,referral,closed,medium,ST014,faculty,
SI00320,WF00206,S0281,2026-03-03,2026-03-22,financial aid,financial,handoff,Closed,medium,ST013,,
SI00447,WF00283,S0410,2026-02-12,2026-02-18,Financial Aid,wellbeing,handoff,closed,high,ST012,,
SI00125,WF00079,S0116,2026-02-11,2026-02-23,Counseling,behavioral,referral,closed ,high,ST003,Counseling,
SI00763,WF00480,S0695,2026-02-27,2026-03-17,ResLife,social,handoff,closed,urgent,ST017,,
SI00235,WF00156,S0211,2026-02-16,2026-02-18,Counseling Center,wellbeing,check_in,closed ,medium,ST003,,
SI00743,WF00467,S0677,2026-02-13,2026-02-27,Acad. Advising,social,referral,Closed,medium,ST007,faculty,
SI00419,WF00269,S0375,2026-03-18,2026-03-21,dean of students,wellbeing,handoff,closed,high,ST015,,
SI00537,WF00332,S0505,2026-03-18,2026-04-03,Residential Life,academic,handoff,closed ,urgent,ST016,,
SI00108,WF00070,S0103,2026-03-03,,Financial Aid,behavioral,handoff,open,low,ST013,,
SI00778,WF00005,S0006,2026-03-02,2026-03-03,Counseling Center,financial,handoff,Closed,high,ST002,,
SI00599,WF00369,S0551,2026-03-12,2026-03-26,Academic Advising,academic,check_in,Closed,medium,ST006,,
SI00070,WF00044,S0057,2026-02-25,2026-02-26,Residential Life,financial,referral,Closed,low,,Dean of Students,Financial Aid
SI00354,WF00226,S0309,2026-02-12,2026-03-03,dean of students,academic,referral,Closed,medium,ST014,Dean of Students,Financial Aid
SI00755,WF00476,S0691,2026-02-09,2026-03-02,ResLife,wellbeing,check_in,Closed,urgent,ST017,,
SI00397,WF00254,S0357,2026-02-26,2026-03-10,counseling,wellbeing,handoff,Closed,urgent,ST001,,
SI00730,WF00459,S0672,2026-02-14,2026-02-25,ResLife,wellbeing,check_in,closed ,medium,ST016,,
