student_id,week_number,attendance_rate,lms_logins,lms_activity_score,sessions_missed,participation_score
S0091,4,0.738,11,43.8,0,4.59
S0091,5,0.733,8,38.9,1,3.8
S0091,6,0.691,10,38.0,1,3.45
S0091,7,0.645,6,35.6,2,3.43
S0092,1,0.952,9,71.8,0,7.56
S0092,2,0.946,11,75.3,0,6.66
S0092,3,0.928,10,68.8,0,6.11
S0092,4,0.898,10,62.6,0,7.69
S0092,5,0.94,10,59.2,0,5.75
S0092,6,0.904,17,72.0,0,7.13
S0092,7,0.931,10,66.1,0,5.19
S0093,1,0.752,6,80.0,0,6.88
S0093,2,0.862,8,75.3,0,5.49
S0093,3,0.883,9,68.6,0,6.07
S0093,4,0.839,7,68.0,0,6.39
S0093,5,0.824,6,62.4,1,5.51
S0093,6,0.893,13,71.6,0,6.36
S0093,7,0.835,8,70.1,0,6.28
S0094,1,1.0,3,47.7,0,8.24
S0094,2,1.0,6,46.2,0,6.5
S0094,3,0.978,7,46.4,0,8.5
S0094,4,0.982,4,44.5,0,6.18
S0094,5,1.0,11,39.4,0,6.74
S0094,6,0.944,12,51.1,0,7.27
S0094,7,0.979,3,48.2,0,6.84
S0095,1,0.977,18,89.9,0,6.37
S0095,2,0.888,20,94.1,0,5.83
S0095,3,0.862,14,100,0,5.79
S0095,4,0.95,7,100,0,5.52
S0095,5,0.982,15,100,0,6.22
S0095,6,0.856,12,100,0,4.56
S0095,7,0.913,16,87.0,0,6.66
S0096,1,0.761,19,65.6,0,9.25
S0096,2,0.691,10,62.0,1,7.61
S0096,3,0.646,10,67.8,2,8.36
S0096,4,0.99,17,74.4,1,10
S0096,5,0.792,14,69.5,1,9.02
S0096,6,0.815,17,66.2,0,10
S0096,7,0.937,23,75.4,0,10
S0097,1,0.885,12,58.0,0,5.77
S0097,2,0.791,15,67.4,1,4.24
S0097,3,0.891,11,59.3,0,6.35
S0097,4,0.852,10,58.2,0,6.55
S0097,5,0.814,8,73.4,1,5.96
S0097,6,0.769,8,70.5,0,4.71
S0097,7,0.844,10,69.4,0,7.36
S0098,1,0.927,15,42.5,0,4.4
S0098,2,0.818,15,52.7,0,2.26
S0098,3,0.818,5,39.2,0,3.58
S0098,4,0.751,6,31.1,0,4.25
S0098,5,0.694,4,35.7,1,3.16
S0098,6,0.59,0,30.9,2,2.17
S0098,7,0.508,4,19.4,2,3.27
S0099,1,0.876,3,73.6,0,4.47
S0099,2,0.776,2,59.8,0,3.64
S0099,3,0.733,7,60.7,1,3.55
S0099,4,0.734,7,63.3,1,4.95
S0099,5,0.663,2,44.0,1,2.57
S0099,6,0.573,0,51.6,2,2.55
S0099,7,0.473,0,33.6,3,1.98
S0100,1,0.734,21,73.0,0,7.06
S0100,2,0.74,22,69.2,1,5.06
S0100,3,0.754,16,70.8,0,6.38
S0100,4,0.399,9,49.2,2,3.26
S0100,5,0.404,7,41.5,1,3.02
S0100,6,0.36,5,47.2,3,2.72
S0100,7,0.42,12,57.2,2,2.53
S0101,1,0.966,22,66.9,0,9.46
S0101,2,0.952,17,66.2,0,10
S0101,3,0.939,17,57.9,0,9.92
S0101,4,0.964,25,59.8,0,9.75
S0101,5,1.0,16,54.8,0,9.21
S0101,6,0.911,21,55.1,0,10
S0101,7,0.881,20,58.4,0,10
S0102,1,0.883,19,56.9,0,5.51
S0102,2,0.829,21,75.5,1,5.85
S0102,3,0.782,25,74.6,1,7.77
S0102,4,0.789,23,72.9,1,5.85
S0102,5,1.04,22,69.4,0,6.28
S0102,6,0.851,27,71.8,0,4.97
S0102,7,0.836,29,79.7,0,5.98
S0103,1,0.753,15,72.6,0,6.23
S0103,2,0.809,13,68.4,0,7.09
S0103,3,0.733,18,67.9,0,6.19
S0103,4,0.854,12,79.2,0,6.9
S0103,5,0.775,11,76.7,0,6.67
S0103,6,0.747,7,64.5,1,6.59
S0103,7,0.78,6,64.2,1,6.89
S0104,1,0.847,18,59.5,0,6.49
S0104,2,0.933,15,60.6,0,7.03
S0104,3,0.918,19,37.4,0,8.19
S0104,4,0.875,17,58.9,0,8.19
S0104,5,0.888,21,49.9,0,7.82
S0104,6,0.9,13,63.7,0,7.54
S0104,7,0.826,14,53.3,0,8.03
S0105,1,0.828,11,55.7,0,6.21
S0105,2,0.795,18,65.4,0,7.59
S0105,3,0.788,10,61.2,0,5.66
S0105,4,0.921,13,63.2,0,7.92
S0105,5,0.846,15,58.0,0,6.1
S0105,6,0.877,14,61.1,0,6.34
S0105,7,0.881,11,71.3,0,7.08
S0106,1,0.923,14,65.5,0,5.81
S0106,2,0.947,20,60.7,0,5.5
S0106,3,0.828,13,58.7,0,5.86
S0106,4,0.947,22,67.1,0,5.48
S0106,5,0.888,14,67.3,0,6.55
S0106,6,0.899,20,66.0,0,6.66
S0106,7,0.939,15,60.8,0,6.8
S0107,1,0.847,13,77.8,0,7.29
S0107,2,0.807,10,66.6,0,6.47
S0107,3,0.78,15,58.7,1,6.4
S0107,4,0.682,6,56.1,1,5.47
S0107,5,0.599,7,50.2,1,5.64
S0107,6,0.545,0,46.7,1,6.0
S0107,7,0.427,1,48.8,1,4.66
S0108,1,1.0,5,76.8,0,6.48
S0108,2,0.943,7,73.4,0,6.84
S0108,3,0.928,6,77.9,0,7.27
S0108,4,0.921,5,73.8,0,6.07
S0108,5,0.901,2,79.0,0,7.02
S0108,6,0.883,11,77.8,0,7.45
S0108,7,0.819,6,69.5,0,6.16
S0109,1,0.881,14,97.4,0,8.17
S0109,2,0.897,13,85.3,0,6.52
S0109,3,0.798,6,74.6,0,6.26
S0109,4,0.756,6,83.3,1,5.24
S0109,5,0.674,5,80.1,1,5.14
S0109,6,0.7,0,64.3,0,3.26
S0109,7,0.597,0,65.5,2,3.88
S0110,1,0.757,14,23.0,1,2.94
S0110,2,0.642,19,23.4,1,1.96
S0110,3,0.707,17,25.2,1,2.26
S0110,4,0.674,20,28.1,1,2.52
S0110,5,0.588,26,25.6,1,2.78
S0110,6,0.704,26,17.2,1,3.55
S0110,7,0.82,22,19.9,1,1.31
S0111,1,0.887,5,63.6,0,7.89
S0111,2,0.809,5,59.3,0,6.71
S0111,3,0.778,0,49.1,0,7.66
S0111,4,0.754,5,49.6,1,7.51
S0111,5,0.677,0,51.3,0,5.47
S0111,6,0.683,0,38.2,1,6.22
S0111,7,0.626,0,33.5,1,4.16
S0112,1,0.84,18,87.9,0,8.74
S0112,2,0.779,12,91.4,0,9.53
S0112,3,0.749,7,80.1,1,7.64
S0112,4,0.693,7,73.9,0,6.77
S0112,5,0.59,0,75.7,2,6.31
S0112,6,0.608,2,67.5,1,6.89
S0112,7,0.517,0,65.2,1,4.74
S0113,1,0.907,4,65.9,0,8.2
S0113,2,0.89,5,69.8,0,7.67
S0113,3,0.908,6,67.3,0,7.36
S0113,4,0.949,4,66.9,0,8.31
S0113,5,0.97,2,69.4,0,7.65
S0113,6,0.877,0,67.6,0,6.61
S0113,7,0.931,4,75.1,0,6.83
S0114,1,0.9,17,65.5,0,6.05
S0114,2,0.912,15,78.7,0,6.16
S0114,3,0.886,18,65.9,0,4.76
S0114,4,0.623,0,35.2,1,3.45
S0114,5,0.547,4,35.9,2,1.85
S0114,6,0.536,0,22.6,1,3.03
S0114,7,0.551,1,28.0,1,2.1
S0115,1,0.883,11,61.6,0,6.24
S0115,2,0.963,12,60.1,0,5.68
S0115,3,0.848,9,69.6,0,5.13
S0115,4,0.547,0,27.6,1,2.36
S0115,5,0.482,0,33.2,2,2.4
S0115,6,0.522,0,41.3,2,1.6
S0115,7,0.618,0,30.1,1,3.26
S0116,1,0.921,11,64.2,0,5.44
S0116,2,0.926,9,47.2,0,5.9
S0116,3,0.789,2,43.6,1,4.06
S0116,4,0.788,5,33.8,0,4.11
S0116,5,0.655,0,30.4,1,4.82
S0116,6,0.583,1,31.9,2,4.38
S0116,7,0.591,0,29.1,2,2.94
S0117,1,0.688,19,41.2,1,4.36
S0117,2,0.624,22,41.7,1,3.02
S0117,3,0.671,24,47.3,1,6.03
S0117,4,0.64,25,43.5,1,4.21
S0117,5,0.686,19,34.6,0,5.04
S0117,6,0.65,22,36.4,1,4.32
S0117,7,0.648,22,24.2,2,4.46
S0118,1,1.06,7,80.8,0,7.61
S0118,2,0.719,12,73.8,0,7.03
S0118,3,1.0,8,82.0,1,5.42
S0118,4,0.416,0,49.3,2,3.54
S0118,5,0.395,0,42.5,3,5.37
S0118,6,0.415,0,51.7,2,4.91
S0118,7,0.362,0,49.3,1,3.41
S0119,1,0.67,11,35.7,0,4.14
S0119,2,0.725,13,31.2,1,4.3
S0119,3,0.623,10,25.6,1,3.0
S0119,4,0.675,11,26.7,1,3.08
S0119,5,0.711,15,30.8,1,4.3
S0119,6,0.663,8,30.2,1,3.29
S0119,7,0.621,19,27.3,1,4.68
S0120,1,0.794,17,54.5,1,4.87
S0120,2,0.8,18,48.9,1,3.35
S0120,3,0.787,10,42.9,0,3.04
S0120,4,0.767,14,52.2,1,4.49
S0120,5,0.904,22,63.2,0,2.72
S0120,6,0.934,19,53.1,0,4.71
S0120,7,0.936,26,73.2,0,4.96
S0121,1,0.872,26,62.4,0,3.15
S0121,2,0.805,24,64.1,0,5.52
S0121,3,0.822,21,53.6,0,3.84
S0121,4,0.857,29,45.4,0,5.02
S0121,5,0.789,23,63.1,1,4.07
S0121,6,0.76,22,53.7,0,5.02
S0121,7,0.728,16,46.4,1,2.81
S0122,1,0.829,11,87.8,1,7.51
S0122,2,0.845,12,70.3,0,7.36
S0122,3,0.794,18,82.5,1,6.37
S0122,4,0.761,11,79.1,0,6.15
S0122,5,0.782,11,81.3,0,5.94
S0122,6,0.793,13,75.1,1,7.22
S0122,7,0.81,10,68.0,1,7.4
S0123,1,0.867,18,100,0,6.13
S0123,2,0.85,17,96.3,0,5.77
S0123,3,0.857,20,100,0,5.13
S0123,4,0.875,11,91.2,0,5.22
S0123,5,0.879,18,93.1,0,4.48
S0123,6,0.842,11,93.9,0,4.41
S0123,7,0.923,14,100,0,5.59
S0124,1,1.16,6,68.4,0,8.21
S0124,2,0.864,16,62.5,0,6.67
S0124,3,0.878,10,57.5,0,6.78
S0124,4,0.893,15,57.7,0,7.54
S0124,5,0.895,9,63.6,0,7.41
S0124,6,0.897,6,54.8,0,8.08
S0124,7,0.918,8,57.1,0,7.06
S0125,1,0.908,16,65.6,0,5.08
S0125,2,0.938,12,60.5,0,5.0
S0125,3,0.988,10,63.7,0,5.84
S0125,4,0.978,8,53.9,0,6.64
S0125,5,0.931,9,59.8,0,4.06
S0125,6,0.893,6,56.6,0,5.93
S0125,7,0.923,12,57.1,0,6.03
S0126,1,0.925,5,81.3,0,5.55
S0126,2,1.0,3,73.5,0,5.34
S0126,3,1.11,5,67.9,0,5.7
S0126,4,0.999,5,75.2,0,6.46
S0126,5,1.0,5,72.8,0,6.43
S0126,6,0.987,9,77.8,0,6.07
S0126,7,0.922,6,75.5,0,5.15
S0127,1,0.913,13,89.8,0,6.9
S0127,2,0.809,13,87.9,1,5.29
S0127,3,0.822,14,86.2,0,7.05
S0127,4,0.768,17,93.6,1,6.98
S0127,5,0.817,17,82.2,0,6.9
S0127,6,0.818,21,89.8,0,8.13
S0127,7,0.869,24,79.6,0,6.32
S0128,1,0.897,22,61.4,0,7.39
S0128,2,0.911,18,69.5,0,6.85
S0128,3,0.842,18,68.4,0,6.79
S0128,4,0.865,19,61.7,0,6.2
S0128,5,0.866,18,74.3,0,6.81
S0128,6,0.827,20,61.0,0,6.59
S0128,7,0.888,15,66.6,0,6.32
S0129,1,0.532,22,36.7,2,3.48
S0129,2,0.494,18,36.9,1,2.69
S0129,3,0.529,19,32.2,2,2.3
S0129,4,0.517,21,23.3,2,1.45
S0129,5,0.538,16,34.9,2,1.92
S0129,6,0.555,20,41.3,2,1.16
S0129,7,0.535,19,36.7,1,2.55
S0130,1,0.887,21,81.6,0,8.12
S0130,2,0.84,12,73.3,0,8.17
S0130,3,0.813,11,84.8,0,7.73
S0130,4,0.716,12,70.7,1,7.11
S0130,5,0.653,10,68.0,2,6.23
S0130,6,0.591,8,72.2,2,5.04
S0130,7,0.594,6,64.8,2,3.52
S0131,1,1.0,16,83.8,0,6.54
S0131,2,1.0,17,95.5,0,7.21
S0131,3,1.0,12,90.8,0,6.53
S0131,4,0.626,3,55.8,1,5.28
S0131,5,0.701,0,58.2,0,4.72
S0131,6,0.645,2,60.5,2,4.46
S0131,7,0.566,0,65.0,2,4.07
S0132,1,0.832,12,81.5,1,6.37
S0132,2,0.875,10,73.8,0,4.48
S0132,3,0.857,11,84.5,0,8.26
S0132,4,0.912,10,79.9,0,5.95
S0132,5,0.815,10,92.7,0,7.38
S0132,6,0.828,11,95.2,0,7.31
S0132,7,0.773,13,84.9,1,6.68
S0133,1,0.759,3,47.0,1,5.82
S0133,2,0.779,0,42.1,0,6.76
S0133,3,0.687,0,47.3,1,5.59
S0133,4,0.777,0,37.8,0,6.39
S0133,5,0.745,0,41.7,0,7.07
S0133,6,0.755,3,42.6,0,6.9
S0133,7,0.698,2,51.3,1,7.3
S0134,1,0.969,9,46.8,0,7.92
S0134,2,0.955,6,44.3,0,7.14
S0134,3,0.888,14,45.6,0,5.85
S0134,4,0.938,14,49.7,0,6.69
S0134,5,0.903,12,40.0,0,7.51
S0134,6,0.865,13,57.6,0,6.98
S0134,7,0.87,8,46.7,0,6.81
S0135,1,0.743,15,59.7,0,6.31
S0135,2,0.791,13,54.7,0,5.63
S0135,3,0.639,9,46.3,1,7.15
S0135,4,0.644,6,42.8,1,5.87
S0135,5,0.556,3,40.2,2,4.96
S0135,6,0.391,0,38.5,1,3.43
S0135,7,0.437,0,30.0,1,4.22
S0136,1,0.876,17,69.7,0,9.48
S0136,2,0.922,14,76.7,0,8.7
S0136,3,0.889,14,83.5,0,8.72
S0136,4,1.0,11,70.3,0,8.69
S0136,5,0.904,25,76.2,0,7.65
S0136,6,0.925,23,81.5,0,8.96
S0136,7,0.938,17,79.0,0,8.28
S0137,1,0.89,24,70.7,0,2.98
S0137,2,0.84,20,75.7,0,3.26
S0137,3,0.805,23,71.6,0,3.98
S0137,4,0.867,20,76.6,0,3.57
S0137,5,0.881,24,74.7,0,5.67
S0137,6,0.8,21,76.9,1,4.4
S0137,7,0.908,15,68.2,0,3.65
S0138,1,0.858,4,89.4,0,6.64
S0138,2,0.808,5,90.2,1,6.89
S0138,3,0.866,6,100,0,5.65
S0138,4,0.81,5,85.5,0,6.33
S0138,5,0.809,8,87.7,1,5.93
S0138,6,0.78,4,81.3,0,4.43
S0138,7,0.931,4,83.8,0,6.96
S0139,1,0.831,22,42.3,0,5.55
S0139,2,0.724,14,39.5,1,5.86
S0139,3,0.751,11,29.8,1,6.36
S0139,4,0.76,18,36.5,1,5.67
S0139,5,0.786,17,42.4,0,5.56
S0139,6,0.777,12,45.2,1,5.48
S0139,7,0.721,16,44.8,0,6.43
S0140,1,0.872,7,43.8,0,4.79
S0140,2,0.806,15,47.0,0,3.14
S0140,3,0.825,4,26.1,1,4.27
S0140,4,0.71,7,26.4,1,2.98
S0140,5,0.645,8,26.6,1,1.51
S0140,6,0.675,2,19.4,1,2.74
S0140,7,0.464,0,2.8,2,1.0
S0141,1,0.956,9,63.8,0,8.19
S0141,2,0.885,12,56.4,0,9.06
S0141,3,0.901,8,61.7,0,8.84
S0141,4,0.869,9,50.4,0,7.0
S0141,5,0.853,11,43.9,0,7.85
S0141,6,0.856,10,49.3,0,7.86
S0141,7,0.85,6,50.5,0,6.51
S0142,1,0.903,12,75.6,0,5.99
S0142,2,0.884,12,57.7,0,6.38
S0142,3,0.817,12,62.2,0,5.05
S0142,4,0.768,11,58.9,0,4.66
S0142,5,0.693,4,41.4,1,2.06
S0142,6,0.65,1,49.0,2,1.76
S0142,7,0.617,2,45.7,1,3.42
S0143,1,0.829,11,76.5,0,6.67
S0143,2,0.805,11,70.2,0,4.51
S0143,3,0.867,10,75.8,0,5.66
S0143,4,0.838,14,74.3,0,5.43
S0143,5,0.779,12,69.8,1,5.97
S0143,6,0.847,14,69.8,0,5.25
S0143,7,0.778,15,58.6,0,4.47
S0144,1,0.843,17,57.2,0,8.51
S0144,2,0.846,12,53.5,0,8.72
S0144,3,0.811,20,47.6,0,8.09
S0144,4,0.834,12,58.4,0,8.18
S0144,5,0.788,12,51.9,1,7.02
S0144,6,0.831,16,54.7,0,8.28
S0144,7,0.83,13,49.9,0,9.26
S0145,1,0.935,13,63.5,0,6.61
S0145,2,0.882,11,55.5,0,6.78
S0145,3,0.803,10,61.4,1,4.58
S0145,4,0.722,2,51.2,1,4.31
S0145,5,0.766,3,47.8,0,3.69
S0145,6,0.592,2,40.3,1,3.48
S0145,7,0.548,0,45.1,2,3.48
S0146,1,0.848,7,62.2,0,6.87
S0146,2,0.786,0,75.4,0,7.76
S0146,3,0.876,3,61.7,0,5.8
S0146,4,0.818,0,62.3,0,7.33
S0146,5,0.849,1,66.8,0,6.68
S0146,6,0.769,0,60.0,1,6.4
S0146,7,0.809,3,66.0,0,6.25
S0147,1,0.876,20,60.3,0,4.77
S0147,2,0.854,18,44.6,0,6.05
S0147,3,0.88,16,61.6,0,5.84
S0147,4,0.906,11,53.6,0,5.12
S0147,5,0.857,21,58.3,0,3.51
S0147,6,0.794,19,52.2,0,3.04
S0147,7,0.803,19,52.3,0,6.43
S0148,1,0.939,4,83.1,0,5.49
S0148,2,0.868,12,74.3,0,5.67
S0148,3,0.983,7,80.1,0,5.54
S0148,4,0.928,6,78.3,0,6.23
S0148,5,0.998,10,69.1,0,7.06
S0148,6,0.883,5,78.6,0,5.91
S0148,7,0.864,4,62.1,0,4.38
S0149,1,0.916,8,100,0,3.38
S0149,2,0.874,10,99.0,0,4.52
S0149,3,0.989,12,100,0,4.63
S0149,4,0.923,2,99.8,0,5.43
S0149,5,0.898,3,100,0,4.39
S0149,6,0.96,7,95.2,0,5.63
S0149,7,0.86,4,100,0,4.0
S0150,1,0.808,10,69.4,1,5.38
S0150,2,0.859,11,65.8,0,3.82
S0150,3,0.85,5,65.6,0,4.95
S0150,4,0.843,10,68.2,0,6.03
S0150,5,0.857,8,73.4,0,4.75
S0150,6,0.817,16,76.0,0,3.45
S0150,7,0.807,9,67.4,0,4.28
S0151,1,0.77,16,82.2,0,6.33
S0151,2,0.675,21,94.4,0,5.47
S0151,3,0.687,9,88.2,1,3.1
S0151,4,0.672,7,71.5,1,5.21
S0151,5,0.505,12,80.0,1,4.65
S0151,6,0.546,6,73.7,2,3.11
S0151,7,0.452,0,62.7,2,3.93
S0152,1,0.861,17,88.9,0,6.88
S0152,2,0.908,7,94.6,0,7.41
S0152,3,0.946,9,80.8,0,6.6
S0152,4,0.915,7,74.0,0,9.13
S0152,5,0.867,8,78.8,0,8.62
S0152,6,0.921,8,81.3,0,9.41
S0152,7,0.907,6,85.4,0,8.27
S0153,1,0.73,14,90.8,0,8.52
S0153,2,0.606,8,94.3,1,8.1
S0153,3,0.518,13,86.9,1,7.31
S0153,4,0.519,6,76.3,1,6.67
S0153,5,0.419,6,78.5,1,5.52
S0153,6,0.386,3,82.0,3,5.76
S0153,7,0.32,0,78.4,2,5.35
S0154,1,0.796,10,61.7,1,7.28
S0154,2,0.809,8,65.3,0,6.12
S0154,3,0.795,14,58.8,1,5.07
S0154,4,0.764,19,55.0,0,6.63
S0154,5,0.807,12,63.2,0,6.86
S0154,6,0.771,17,68.2,0,5.64
S0154,7,0.811,16,56.3,1,6.41
S0155,1,0.651,6,44.1,2,0
S0155,2,0.625,5,43.4,2,0
S0155,3,0.653,6,32.8,1,0
S0155,4,0.665,6,38.9,1,0.54
S0155,5,0.624,0,45.3,1,1.03
S0155,6,0.57,2,45.7,2,0.84
S0155,7,0.665,7,35.8,1,0.59
S0156,1,0.837,13,56.4,0,7.47
S0156,2,0.801,10,51.5,0,8.44
S0156,3,0.799,18,59.2,0,8.81
S0156,4,0.753,16,53.5,0,7.86
S0156,5,0.784,22,63.2,1,8.49
S0156,6,0.807,15,53.3,1,8.4
S0156,7,0.883,15,64.4,0,7.23
S0157,1,0.94,4,56.9,0,5.7
S0157,2,0.993,4,60.1,0,7.4
S0157,3,0.893,3,69.7,0,4.67
S0157,4,0.905,0,65.9,0,5.08
S0157,5,0.831,2,55.2,0,3.48
S0157,6,0.98,6,62.5,1,5.34
S0157,7,0.753,4,58.8,0,4.68
S0158,1,0.855,20,81.8,0,9.62
S0158,2,0.875,19,78.8,0,9.68
S0158,3,0.866,13,74.9,0,8.21
S0158,4,0.898,11,80.1,0,8.97
S0158,5,0.839,14,73.3,0,9.5
S0158,6,0.867,15,71.5,0,8.34
S0158,7,0.9,14,81.6,0,8.96
S0159,1,0.997,11,66.6,0,4.46
S0159,2,0.976,13,72.1,0,3.67
S0159,3,0.86,10,64.7,0,3.87
S0159,4,0.681,2,37.0,1,1.89
S0159,5,0.669,0,48.4,1,0
S0159,6,0.66,2,42.1,1,0.39
S0159,7,0.672,2,39.1,1,2.08
S0160,1,0.973,9,57.6,0,8.91
S0160,2,0.884,16,57.3,0,9.14
S0160,3,0.99,11,63.0,0,10
S0160,4,0.997,11,55.8,0,7.17
S0160,5,0.908,12,67.7,0,10
S0160,6,0.993,6,53.1,0,8.58
S0160,7,0.994,7,52.1,0,8.1
S0161,1,0.929,15,74.7,0,2.52
S0161,2,0.888,17,66.3,0,2.42
S0161,3,0.93,15,58.9,0,2.79
S0161,4,0.873,6,78.7,0,3.32
S0161,5,0.879,11,61.5,0,3.09
S0161,6,0.864,11,78.0,0,1.39
S0161,7,0.841,13,66.5,0,1.32
S0162,1,0.974,7,68.0,0,10
S0162,2,0.973,7,78.1,0,8.93
S0162,3,0.95,15,80.6,0,8.08
S0162,4,0.956,7,74.0,0,8.34
S0162,5,0.888,9,69.5,0,7.46
S0162,6,0.966,7,75.7,0,7.15
S0162,7,0.958,13,73.8,0,7.73
S0163,1,1.0,0,69.2,0,6.44
S0163,2,0.883,2,71.9,0,7.77
S0163,3,0.902,9,74.8,0,7.01
S0163,4,0.875,6,56.8,0,6.9
S0163,5,0.98,2,59.3,0,9.53
S0163,6,0.976,12,60.0,0,6.85
S0163,7,0.859,6,56.8,0,7.53
S0164,1,0.887,27,39.5,0,8.31
S0164,2,0.847,25,38.1,0,8.31
S0164,3,0.829,15,39.7,0,6.2
S0164,4,0.742,15,26.8,1,7.06
S0164,5,0.619,11,23.9,1,5.53
S0164,6,0.564,13,23.9,2,5.6
S0164,7,0.544,1,21.2,1,4.7
S0165,1,0.542,12,32.3,2,3.21
S0165,2,0.603,14,26.9,1,3.88
S0165,3,0.645,18,19.9,2,2.83
S0165,4,0.614,14,36.8,2,2.39
S0165,5,0.645,14,32.9,1,1.13
S0165,6,0.7,15,18.6,1,3.35
S0165,7,0.722,12,33.7,1,2.28
S0166,1,1.0,20,97.7,0,3.85
S0166,2,0.949,13,88.3,0,5.15
S0166,3,0.911,16,81.4,0,4.77
S0166,4,0.899,15,84.5,0,3.55
S0166,5,1.0,22,98.5,0,5.62
S0166,6,1.0,22,100,0,6.74
S0166,7,1.0,17,100,0,5.78
S0167,1,0.912,16,60.7,0,4.14
S0167,2,0.979,17,60.3,0,2.62
S0167,3,0.941,20,51.8,0,5.28
S0167,4,0.572,8,25.6,1,1.76
S0167,5,0.587,3,20.7,1,1.04
S0167,6,0.611,8,24.3,2,1.06
S0167,7,0.552,5,33.9,1,2.05
S0168,1,0.851,13,66.6,0,8.36
S0168,2,0.888,13,72.4,0,7.43
S0168,3,0.9,16,82.5,0,8.95
S0168,4,0.951,9,75.0,0,6.68
S0168,5,0.901,10,76.4,0,7.45
S0168,6,0.872,13,75.5,0,6.71
S0168,7,0.827,14,63.1,1,6.79
S0169,1,0.865,18,41.8,0,4.28
S0169,2,0.816,8,50.7,0,3.72
S0169,3,0.741,10,44.9,1,4.64
S0169,4,0.816,12,44.6,0,5.88
S0169,5,0.846,19,52.7,0,5.43
S0169,6,0.968,19,60.4,0,5.08
S0169,7,0.935,19,58.3,0,5.43
S0170,1,0.853,20,54.0,0,6.68
S0170,2,0.784,14,59.9,1,4.79
S0170,3,0.768,12,51.0,1,6.08
S0170,4,0.7,7,49.4,0,4.47
S0170,5,0.666,8,42.6,2,5.89
S0170,6,0.605,3,47.6,1,4.04
S0170,7,0.428,6,39.9,2,2.98
S0171,1,1.0,12,45.2,0,4.65
S0171,2,1.0,15,39.8,0,5.87
S0171,3,1.0,10,35.3,0,7.43
S0171,4,1.0,14,49.5,0,5.22
S0171,5,0.945,16,39.0,0,7.12
S0171,6,1.0,14,41.0,0,5.07
S0171,7,1.0,9,29.6,0,5.62
S0172,1,0.758,12,68.8,1,4.81
S0172,2,0.753,6,66.3,1,5.5
S0172,3,0.777,6,72.1,0,7.7
S0172,4,0.758,6,71.1,1,6.86
S0172,5,0.761,15,65.6,0,7.08
S0172,6,0.757,10,69.5,0,5.59
S0172,7,0.836,10,71.6,0,6.24
S0173,1,0.904,12,48.9,0,5.63
S0173,2,0.932,14,39.9,0,6.97
S0173,3,0.872,20,59.8,0,5.78
S0173,4,0.948,19,46.7,0,5.68
S0173,5,0.976,18,50.0,0,5.86
S0173,6,0.954,17,39.2,0,6.69
S0173,7,0.946,14,59.9,0,6.76
S0174,1,0.972,11,99.7,0,6.41
S0174,2,0.975,13,95.5,0,6.33
S0174,3,0.888,14,96.1,0,6.71
S0174,4,0.92,12,90.2,0,7.03
S0174,5,0.814,12,97.6,1,5.9
S0174,6,0.853,6,100,0,7.02
S0174,7,0.915,11,94.3,0,7.03
S0175,1,0.754,12,77.3,1,5.24
S0175,2,0.82,7,73.4,0,4.55
S0175,3,0.807,11,79.0,1,4.76
S0175,4,0.828,10,87.8,1,6.03
S0175,5,0.823,9,65.7,0,3.69
S0175,6,0.89,9,70.3,0,5.87
S0175,7,0.875,15,82.9,0,5.62
S0176,1,0.768,3,56.7,1,6.15
S0176,2,0.78,5,55.4,0,5.58
S0176,3,0.631,0,50.5,1,4.0
S0176,4,0.616,0,53.4,1,5.5
S0176,5,0.553,0,34.8,2,3.54
S0176,6,0.468,0,44.6,2,2.66
S0176,7,0.435,0,25.6,1,2.9
S0177,1,0.743,14,73.8,1,6.39
S0177,2,0.783,14,69.5,0,6.48
S0177,3,0.759,13,69.7,1,5.26
S0177,4,0.743,19,64.0,1,7.38
S0177,5,0.741,13,62.7,1,5.53
S0177,6,0.818,20,72.1,0,5.49
S0177,7,0.791,-16,59.5,1,7.37
S0178,1,0.95,21,47.3,0,6.05
S0178,2,0.993,20,49.1,0,4.18
S0178,3,0.962,18,50.5,0,4.45
S0178,4,0.56,4,8.9,1,2.72
S0178,5,0.631,7,27.3,1,2.14
S0178,6,0.68,1,15.8,1,3.86
S0178,7,0.645,7,19.9,1,3.65
S0179,1,0.717,17,74.8,1,6.62
S0179,2,0.732,23,79.5,0,4.16
S0179,3,0.702,20,60.7,0,4.4
S0179,4,0.772,18,74.5,0,6.4
S0179,5,0.719,21,71.5,1,6.4
S0179,6,0.847,21,89.3,0,7.18
S0179,7,0.846,24,91.4,0,6.5
S0180,1,0.819,14,78.7,0,6.14
S0180,2,0.767,19,83.9,0,7.16
S0180,3,0.808,18,75.6,0,6.84
S0180,4,0.786,18,69.7,1,6.4
S0180,5,0.765,17,70.8,1,5.45
S0180,6,0.845,12,75.7,0,8.69
S0180,7,0.79,16,79.7,0,6.32
S0181,1,0.762,18,48.4,0,7.85
S0181,2,0.812,18,47.6,0,8.13
S0181,3,0.787,19,56.5,0,7.92
S0181,4,0.837,18,50.3,0,7.44
S0181,5,0.67,17,48.1,1,6.6
S0181,6,0.717,18,37.9,0,7.52
S0181,7,0.748,15,40.8,1,7.23
S0182,1,0.849,8,41.5,0,5.24
S0182,2,0.871,7,50.3,0,5.41
S0182,3,0.76,6,47.1,1,4.02
